[55.860388028978, 49.082265272012435];13149;7330;Зона индифидуальной и блокированной жилой застройки
[55.85654539777339, 49.082104190527176];13149;7650;Зона индифидуальной и блокированной жилой застройки
[55.86558276759198, 49.080804457523676];13069;6897;Зона размещения объектов специального назначения
[55.86548921588212, 49.080041115566374];13032;6905;Зона размещения садоводств
[55.85877373963038, 49.07953130806293];13022;7464;Зона индифидуальной и блокированной жилой застройки
[55.857788117642784, 49.09501889364627];13765;7548;Зона размещения объектов специального назначения
[55.85589977644197, 49.0836732785971];13226;7704;Зона многоквартирной среднеэтажной жилой застройки
[55.855787932940544, 49.08974408116335];13516;7714;Зона смешенного размещения жилой застройки и производственно-коммунальных объектов
[55.85580675129525, 49.09483367263489];13760;7713;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86645469815624, 49.10003696636954];13987;6827;Зона многоквартиной многоэтажной жилой застройки
[55.853884660739624, 49.08536790575165];13311;7872;Зона размещения объектов специального назначения
[55.863023984140646, 49.077978668568036];12939;7110;Зона индифидуальной и блокированной жилой застройки
[55.85834117897764, 49.100081959648584];14006;7503;Зона многоквартиной многоэтажной жилой застройки
[55.85686027030434, 49.08202447341035];13145;7624;Зона индифидуальной и блокированной жилой застройки
[55.858051626233596, 49.09305958735108];13671;7526;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86618877732647, 49.10154379818501];14060;6849;Зона многоквартиной многоэтажной жилой застройки
[55.86520209674384, 49.10180061418048];14074;6932;Зона многоквартиной многоэтажной жилой застройки
[55.86073217118176, 49.10205404373217];14095;7304;Зона многоквартиной многоэтажной жилой застройки
[55.86223461726337, 49.100292643242646];14008;7179;Зона многоквартиной многоэтажной жилой застройки
[55.85707790217579, 49.081420123242665];13116;7606;Зона индифидуальной и блокированной жилой застройки
[55.868148876518674, 49.08959755054576];13484;6685;Зона индифидуальной и блокированной жилой застройки
[55.85638824214578, 49.08814021260342];13438;7664;Зона многоквартирной среднеэтажной жилой застройки
[55.85838274305037, 49.10036618358029];14019;7499;Зона многоквартиной многоэтажной жилой застройки
[55.86543029330796, 49.0911794405443];13566;6911;Зона многоквартиной многоэтажной жилой застройки
[55.8613538268949, 49.07432497520861];12767;7249;Зона индифидуальной и блокированной жилой застройки
[55.86643919106773, 49.10034260932249];14002;6828;Зона многоквартиной многоэтажной жилой застройки
[55.85475211349628, 49.08980923601827];13522;7801;Зона смешенного размещения жилой застройки и производственно-коммунальных объектов
[55.85653704324077, 49.083243918195706];13204;7651;Зона многоквартирной среднеэтажной жилой застройки
[55.85853262609227, 49.08181090252846];13131;7485;Зона индифидуальной и блокированной жилой застройки
[55.86516246034274, 49.10238468118447];14102;6935;Зона многоквартиной многоэтажной жилой застройки
[55.86203956696747, 49.08438877707696];13247;7193;Зона многоквартиной многоэтажной жилой застройки
[55.86563076343768, 49.10145809240455];14057;6896;Зона многоквартиной многоэтажной жилой застройки
[55.866382492697056, 49.100853168296844];14027;6833;Зона многоквартиной многоэтажной жилой застройки
[55.853420696195506, 49.08259752281166];13179;7911;Зона многоквартиной многоэтажной жилой застройки
[55.86182053240461, 49.09484228354456];13748;7212;Зона размещения объектов специального назначения
[55.86584649382795, 49.100263415469584];13999;6878;Зона многоквартиной многоэтажной жилой застройки
[55.866571171187516, 49.10060337958509];14014;6817;Зона многоквартиной многоэтажной жилой застройки
[55.862986084902985, 49.082656772732086];13163;7114;Зона индифидуальной и блокированной жилой застройки
[55.86684272173716, 49.088336481576114];13427;6793;Зона индифидуальной и блокированной жилой застройки
[55.85695701862954, 49.08867959156998];13463;7617;Зона многоквартирной среднеэтажной жилой застройки
[55.8583379209679, 49.07807953904884];12953;7500;Водные объекты
[55.86244285357571, 49.09873038437128];13933;7161;Специализированная зона размещения объектов торговли, образования, здравоохранения, культуры, спорта
[55.85824887989473, 49.10239726299758];14117;7511;Зона индифидуальной и блокированной жилой застройки
[55.851785121108975, 49.09092905565368];13581;8048;Зона многоквартирной среднеэтажной жилой застройки
[55.8598930754454, 49.077868928289746];12940;7371;Зона индифидуальной и блокированной жилой застройки
[55.85536966787167, 49.08615338493611];13345;7749;Зона многоквартирной среднеэтажной жилой застройки
[55.862603626175876, 49.078739500857786];12976;7145;Зона индифидуальной и блокированной жилой застройки
[55.86221497499887, 49.085852035463105];13317;7178;Зона многоквартиной многоэтажной жилой застройки
[55.869470922080055, 49.084942925454584];13259;6574;Зона индифидуальной и блокированной жилой застройки
[55.86013919995781, 49.092023328745775];13617;7352;Зона многоквартиной многоэтажной жилой застройки
[55.86055881102631, 49.084754679665004];13268;7316;Зона многоквартирной среднеэтажной жилой застройки
[55.86280704762269, 49.091688601165124];13595;7130;Зона многоквартиной многоэтажной жилой застройки
[55.85828708634023, 49.099622416770906];13984;7507;Зона многоквартиной многоэтажной жилой застройки
[55.85908639211123, 49.08305259523346];13190;7439;Зона многоквартирной среднеэтажной жилой застройки
[55.865785284364904, 49.09979020135771];13977;6883;Зона многоквартиной многоэтажной жилой застройки
[55.86917206198651, 49.08270805726148];13153;6599;Зона индифидуальной и блокированной жилой застройки
[55.865057921486134, 49.10230720238221];14099;6944;Зона многоквартиной многоэтажной жилой застройки
[55.85654082661089, 49.08294830686516];13190;7651;Зона индифидуальной и блокированной жилой застройки
[55.859782480481705, 49.10072844469035];14034;7383;Зона многоквартиной многоэтажной жилой застройки
[55.86058053808231, 49.09635962009112];13823;7316;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86604729760056, 49.09964275714525];13969;6861;Зона многоквартиной многоэтажной жилой застройки
